Time,Datetime,Frequency,Magnitude
436,2020-05-05 07:03:30,14.333,0.748
437,2020-05-05 07:03:40,4.0,0.515
438,2020-05-05 07:04:06,13.3,0.818
439,2020-05-05 07:04:08,14.0,0.808
440,2020-05-05 07:04:12,12.143,0.868
441,2020-05-05 07:04:24,7.5,0.639
442,2020-05-05 07:04:26,16.818,0.783
443,2020-05-05 07:04:28,10.0,0.924
444,2020-05-05 07:04:30,9.333,0.655
445,2020-05-05 07:04:46,16.667,0.979
446,2020-05-05 07:04:48,16.25,0.861
447,2020-05-05 07:04:50,10.0,0.892
448,2020-05-05 07:04:52,12.143,0.772
449,2020-05-05 07:05:06,13.875,0.829
450,2020-05-05 07:05:08,10.333,0.788
451,2020-05-05 07:05:12,9.8,0.657
452,2020-05-05 07:05:30,14.833,1.011
453,2020-05-05 07:05:32,9.8,0.785
454,2020-05-05 07:05:34,10.0,0.673
455,2020-05-05 07:05:36,15.143,0.803
456,2020-05-05 07:05:58,16.25,1.12
457,2020-05-05 07:06:00,6.833,0.677
458,2020-05-05 07:06:02,10.0,0.694
459,2020-05-05 07:06:20,14.647,0.731
460,2020-05-05 07:06:22,10.5,0.633
461,2020-05-05 07:06:24,14.0,0.734
462,2020-05-05 07:06:26,15.167,0.797
463,2020-05-05 07:06:30,19.5,1.365
464,2020-05-05 07:06:32,11.0,0.812
465,2020-05-05 07:06:36,10.5,0.729
466,2020-05-05 07:07:22,16.417,0.826
467,2020-05-05 07:07:24,10.0,0.708
468,2020-05-05 07:07:26,12.4,0.85
469,2020-05-05 07:07:28,1.5,0.584
470,2020-05-05 07:07:30,16.6,0.982
471,2020-05-05 07:07:32,11.2,0.814
472,2020-05-05 07:07:34,10.5,0.725
473,2020-05-05 07:07:36,8.75,0.774
474,2020-05-05 07:07:44,1.5,0.532
475,2020-05-05 07:08:18,11.4,0.766
476,2020-05-05 07:08:20,14.333,0.808
477,2020-05-05 07:08:22,12.667,0.767
478,2020-05-05 07:08:30,14.778,0.88
479,2020-05-05 07:08:32,11.5,0.921
480,2020-05-05 07:08:34,5.75,0.642
481,2020-05-05 07:08:36,10.4,0.625
482,2020-05-05 07:09:20,2.0,0.773
483,2020-05-05 07:09:22,16.556,0.848
484,2020-05-05 07:09:24,11.0,1.233
485,2020-05-05 07:09:26,14.333,0.838
486,2020-05-05 07:09:30,11.4,1.046
487,2020-05-05 07:09:32,12.0,0.882
488,2020-05-05 07:09:34,11.0,1.054
489,2020-05-05 07:09:36,7.0,0.692
490,2020-05-05 07:09:56,6.5,0.568
491,2020-05-05 07:10:00,4.0,0.525
492,2020-05-05 07:10:24,1.5,0.697
493,2020-05-05 07:10:26,17.429,0.966
494,2020-05-05 07:10:28,11.0,1.227
495,2020-05-05 07:10:30,11.0,0.648
496,2020-05-05 07:10:34,16.818,0.915
497,2020-05-05 07:10:36,10.5,0.757
498,2020-05-05 07:10:38,14.615,0.88
499,2020-05-05 07:10:40,14.0,0.741
500,2020-05-05 07:11:44,14.7,0.84
501,2020-05-05 07:11:46,14.0,0.674
502,2020-05-05 07:11:48,9.2,0.731
503,2020-05-05 07:11:52,11.2,0.903
504,2020-05-05 07:11:54,16.5,0.949
505,2020-05-05 07:11:56,5.714,0.677
506,2020-05-05 07:12:36,14.444,0.795
507,2020-05-05 07:12:38,11.0,0.749
508,2020-05-05 07:12:40,14.2,0.92
509,2020-05-05 07:13:00,17.5,0.796
510,2020-05-05 07:13:02,5.5,0.585
511,2020-05-05 07:13:04,4.2,0.713
512,2020-05-05 07:13:28,16.667,0.864
513,2020-05-05 07:13:30,14.25,0.763
514,2020-05-05 07:13:32,7.833,0.629
515,2020-05-05 07:13:36,14.2,0.845
516,2020-05-05 07:13:38,5.5,0.609
517,2020-05-05 07:13:40,8.429,0.73
518,2020-05-05 07:14:54,11.0,0.759
519,2020-05-05 07:14:56,11.5,0.825
520,2020-05-05 07:14:58,11.143,0.703
521,2020-05-05 07:15:02,12.25,0.851
522,2020-05-05 07:15:04,10.0,0.51
523,2020-05-05 07:15:06,8.0,0.697
524,2020-05-05 07:15:54,14.833,0.934
525,2020-05-05 07:15:56,12.833,0.82
526,2020-05-05 07:15:58,12.2,0.76
527,2020-05-05 07:16:04,14.857,0.968
528,2020-05-05 07:16:06,6.0,0.691
529,2020-05-05 07:16:38,15.167,0.882
530,2020-05-05 07:16:40,12.5,0.924
531,2020-05-05 07:16:42,14.0,0.866
532,2020-05-05 07:16:48,17.0,0.862
533,2020-05-05 07:16:50,1.0,0.518
534,2020-05-05 07:16:52,8.75,0.632
535,2020-05-05 07:16:54,4.5,0.565
536,2020-05-05 07:17:14,15.929,0.765
537,2020-05-05 07:17:16,10.727,0.746
538,2020-05-05 07:17:18,2.0,0.755
539,2020-05-05 07:17:20,11.4,0.755
540,2020-05-05 07:17:24,13.286,0.752
541,2020-05-05 07:17:26,11.0,0.72
542,2020-05-05 07:17:28,5.0,0.569
543,2020-05-05 07:18:00,11.889,0.895
544,2020-05-05 07:18:02,9.25,0.822
545,2020-05-05 07:18:04,10.625,0.715
546,2020-05-05 07:18:12,16.333,0.864
547,2020-05-05 07:18:14,11.5,0.79
548,2020-05-05 07:18:16,8.0,0.763
549,2020-05-05 07:18:28,5.5,0.573
550,2020-05-05 07:18:32,13.5,0.872
551,2020-05-05 07:18:34,15.222,0.846
552,2020-05-05 07:18:44,11.667,0.872
553,2020-05-05 07:18:56,1.0,0.639
554,2020-05-05 07:19:00,16.333,0.917
555,2020-05-05 07:19:02,15.0,0.702
556,2020-05-05 07:19:04,11.333,0.601
557,2020-05-05 07:19:06,14.0,0.66
558,2020-05-05 07:19:08,12.167,0.713
559,2020-05-05 07:19:10,2.5,0.545
560,2020-05-05 07:19:28,14.538,0.883
561,2020-05-05 07:19:30,14.25,0.974
562,2020-05-05 07:19:32,9.0,0.547
563,2020-05-05 07:19:34,14.429,0.852
564,2020-05-05 07:19:44,15.833,1.08
565,2020-05-05 07:19:46,15.333,1.09
566,2020-05-05 07:19:48,14.0,0.71
567,2020-05-05 07:19:50,7.143,0.66
568,2020-05-05 07:19:52,7.0,0.76
569,2020-05-05 07:19:54,13.8,0.852
570,2020-05-05 07:19:56,5.0,0.597
571,2020-05-05 07:20:22,4.0,0.531
572,2020-05-05 07:20:24,2.0,0.716
573,2020-05-05 07:20:26,19.125,1.005
574,2020-05-05 07:20:28,10.333,0.708
575,2020-05-05 07:20:32,13.167,0.819
576,2020-05-05 07:20:36,15.167,1.033
577,2020-05-05 07:20:38,7.2,0.653
578,2020-05-05 07:20:40,10.5,0.745
579,2020-05-05 07:20:42,12.0,0.701
580,2020-05-05 07:20:58,10.714,0.776
581,2020-05-05 07:21:04,11.5,0.927
582,2020-05-05 07:21:16,1.0,0.544
583,2020-05-05 07:23:12,2.2,0.913
584,2020-05-05 07:23:14,16.625,0.861
585,2020-05-05 07:23:16,11.0,1.207
586,2020-05-05 07:23:18,14.2,0.851
587,2020-05-05 07:23:24,18.333,0.816
588,2020-05-05 07:23:26,11.0,0.796
589,2020-05-05 07:23:28,10.0,0.527
590,2020-05-05 07:23:30,11.556,0.807
591,2020-05-05 07:24:04,17.0,0.926
592,2020-05-05 07:24:06,15.333,1.017
593,2020-05-05 07:24:08,10.0,0.526
594,2020-05-05 07:24:10,11.6,0.622
595,2020-05-05 07:25:36,20.0,0.926
596,2020-05-05 07:25:38,13.167,0.698
597,2020-05-05 07:25:40,10.0,0.676
598,2020-05-05 07:25:42,1.0,0.608
599,2020-05-05 07:25:44,12.2,0.833
600,2020-05-05 07:26:02,19.2,1.165
601,2020-05-05 07:26:04,12.6,0.667
602,2020-05-05 07:26:06,10.5,0.708
